qid,in_p17,in_p131,relation_group,has_kkwiki
Q18406578,1,1,P17+P131,1
Q12549334,1,0,P17_only,1
Q60464473,1,0,P17_only,0
Q27430929,1,0,P17_only,0
Q106123,1,0,P17_only,0
Q12548804,1,0,P17_only,1
Q116985927,1,0,P17_only,0
Q13359365,0,1,P131_only,1
Q4502972,1,0,P17_only,1
Q6352812,1,1,P17+P131,1
Q55657494,1,0,P17_only,0
Q64139712,1,0,P17_only,0
Q12534294,1,1,P17+P131,1
Q12573129,1,0,P17_only,1
Q16664435,1,1,P17+P131,1
Q27353872,1,0,P17_only,0
P10875,1,0,P17_only,0
Q20098655,1,1,P17+P131,1
Q15617555,1,1,P17+P131,1
Q12574257,1,1,P17+P131,1
Q27354882,1,0,P17_only,0
Q12553562,1,0,P17_only,1
Q913329,1,1,P17+P131,1
Q1502550,1,0,P17_only,0
Q27354716,1,0,P17_only,0
Q1474188,1,1,P17+P131,1
Q12542994,1,0,P17_only,1
Q13667230,1,1,P17+P131,1
Q108533802,1,0,P17_only,0
Q4208115,1,0,P17_only,0
Q16708998,1,1,P17+P131,0
Q60851005,1,0,P17_only,0
Q12528601,1,0,P17_only,1
Q16681302,1,1,P17+P131,0
Q19618744,0,1,P131_only,1
Q20486192,1,0,P17_only,1
Q864537,1,0,P17_only,0
Q16433966,1,0,P17_only,1
Q12557774,1,1,P17+P131,1
Q28671111,1,0,P17_only,0
Q20076767,1,1,P17+P131,1
Q16433605,1,0,P17_only,1
Q15918864,1,1,P17+P131,1
Q135829348,1,0,P17_only,0
Q4499157,1,1,P17+P131,1
Q12577491,1,0,P17_only,1
Q27042500,1,0,P17_only,0
Q95993264,1,1,P17+P131,1
Q32194911,1,0,P17_only,0
Q20098525,1,1,P17+P131,1
Q27354473,1,0,P17_only,0
Q12544789,1,0,P17_only,1
Q67893066,1,0,P17_only,0
Q12542260,1,0,P17_only,1
Q12569827,1,1,P17+P131,1
Q104384561,1,0,P17_only,0
Q12556983,1,0,P17_only,1
Q44255800,1,1,P17+P131,1
Q31194158,1,1,P17+P131,1
Q20485385,0,1,P131_only,1
Q13649006,1,1,P17+P131,1
Q123363691,1,0,P17_only,0
Q45728464,1,0,P17_only,0
Q86666289,1,0,P17_only,0
Q12574507,1,0,P17_only,1
Q3919910,1,0,P17_only,0
Q16647963,1,1,P17+P131,1
Q27348200,1,0,P17_only,0
Q13648967,1,1,P17+P131,1
Q13477899,0,1,P131_only,1
Q56368486,1,1,P17+P131,1
Q32206221,1,0,P17_only,0
Q17494767,1,1,P17+P131,1
Q12532342,1,0,P17_only,1
