p31,gap_entities,mean_other_wikipedias,median_other_wikipedias,wiki_2plus,wiki_5plus,wiki_10plus,covered_entities,observed_reference_universe,coverage_pct,gap_pct,wiki_2plus_pct,wiki_5plus_pct,wiki_10plus_pct,label_en,label_kk,label_ru
Q1072326,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,summit,Саммит,саммит
Q107679,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,cliff,Клиф,клиф
Q10874184|Q15141321|Q3565868,2,3.0,3.0,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,,,
Q11187131|Q16510064,2,3.0,3.0,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,,,
Q11362400,2,2.0,2.0,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,World Team Judo Championships,World Team Judo Championships,World Team Judo Championships
Q12280,2,1.0,1.0,0,0,0,2,4,50.0,50.0,0.0,0.0,0.0,bridge,көпір,мост
Q123705|Q130212458,2,3.5,3.5,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,,,
Q123705|Q130212458|Q22674925,2,3.5,3.5,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,,,
Q124734,2,2.0,2.0,2,0,0,4,6,66.67,33.33,100.0,0.0,0.0,rebellion,Көтеріліс,восстание
Q130003,2,1.5,1.5,1,0,0,1,3,33.33,66.67,50.0,0.0,0.0,ski resort,ski resort,горнолыжный курорт
Q130212458|Q1434274|Q21507948,2,4.0,4.0,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,,,
Q13197989,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,Sunni Islam of an area,Sunni Islam of an area,суннизм на территории
Q132241,2,1.5,1.5,1,0,0,1,3,33.33,66.67,50.0,0.0,0.0,festival,festival,фестиваль
Q132834,2,1.0,1.0,0,0,0,3,5,60.0,40.0,0.0,0.0,0.0,madrasa,Медресе,медресе
Q138825|Q20820102|Q249556|Q728937,2,3.0,3.0,2,0,0,0,2,0.0,100.0,100.0,0.0,0.0,,,
Q138825|Q728937,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,,,
Q1402592,2,2.5,2.5,1,0,0,3,5,60.0,40.0,50.0,0.0,0.0,island group,island group,группа островов
Q1437459,2,1.0,1.0,0,0,0,5,7,71.43,28.57,0.0,0.0,0.0,non-geologically related mountain range,non-geologically related mountain range,горы
Q1445650,2,2.0,2.0,1,0,0,4,6,66.67,33.33,50.0,0.0,0.0,holiday,мереке,праздник
Q150784,2,3.5,3.5,2,0,0,2,4,50.0,50.0,100.0,0.0,0.0,canyon,Каньон,каньон
Q15238777,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,legislative term,legislative term,срок полномочий законодательного органа
Q15642541,2,2.0,2.0,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,human-geographic territorial entity,human-geographic territorial entity,геополитическая область
Q159313,2,1.0,1.0,0,0,0,1,3,33.33,66.67,0.0,0.0,0.0,urban agglomeration,urban agglomeration,городская агломерация
Q159719,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,power station,электр стансасы,электростанция
Q16738832,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,criminal case,criminal case,уголовное дело
Q16889960,2,2.0,2.0,2,0,0,1,3,33.33,66.67,100.0,0.0,0.0,circus building,circus building,здание цирка
Q17270000,2,2.0,2.0,2,0,0,1,3,33.33,66.67,100.0,0.0,0.0,football club,football club,футбольный клуб
Q17524420,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,aspect of history,aspect of history,исторический аспект
Q179700|Q4989906,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,,,
Q18142,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,tower block,tower block,высотное здание
Q18340514|Q186117,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,,,
Q200141|Q839954,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,,,
Q207694,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,art museum,art museum,художественный музей
Q215380,2,3.0,3.0,2,0,0,2,4,50.0,50.0,100.0,0.0,0.0,musical group,musical group,музыкальная группа
Q22674925|Q2514025,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,,,
Q22687,2,1.5,1.5,1,0,0,10,12,83.33,16.67,50.0,0.0,0.0,bank,Банк,банк
Q2319498|Q41176,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,,,
Q2383962,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,vicariate (Eastern Orthodoxy),vicariate (Eastern Orthodoxy),викариатство
Q26213387,2,1.5,1.5,1,0,0,15,17,88.24,11.76,50.0,0.0,0.0,Olympic delegation,Olympic delegation,страна на Олимпийских играх
Q26884324,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,Wikimedia outline article,Wikimedia outline article,обзорная статья Викимедиа
