qid,has_kkwiki,p21,p21_group,p21_corrected,gender
Q21705095,0,Q6581072,Q6581072,Q6581072,Female
Q21730641,1,Q6581097,Q6581097,Q6581097,Male
Q21771813,0,Q6581097,Q6581097,Q6581097,Male
Q21843614,0,Q6581097,Q6581097,Q6581097,Male
Q21854818,1,Q6581097,Q6581097,Q6581097,Male
Q21856797,0,Q6581097,Q6581097,Q6581097,Male
Q21856940,0,Q6581072,Q6581072,Q6581072,Female
Q21856985,0,Q6581097,Q6581097,Q6581097,Male
Q21857008,0,Q6581097,Q6581097,Q6581097,Male
Q21857107,0,Q6581097,Q6581097,Q6581097,Male
Q21993524,1,Q6581072,Q6581072,Q6581072,Female
Q21996568,0,Q6581072,Q6581072,Q6581072,Female
Q22002974,0,Q6581072,Q6581072,Q6581072,Female
Q22005812,0,Q6581072,Q6581072,Q6581072,Female
Q22005875,0,Q6581072,Q6581072,Q6581072,Female
Q22019991,0,Q6581097,Q6581097,Q6581097,Male
Q22045662,0,Q6581097,Q6581097,Q6581097,Male
Q22046470,0,Q6581097,Q6581097,Q6581097,Male
Q22046764,0,Q6581097,Q6581097,Q6581097,Male
Q22137674,0,Q6581097,Q6581097,Q6581097,Male
Q22246764,0,Q6581072,Q6581072,Q6581072,Female
Q22246852,0,Q6581097,Q6581097,Q6581097,Male
Q22246954,0,Q6581072,Q6581072,Q6581072,Female
Q22247016,0,Q6581097,Q6581097,Q6581097,Male
Q22342404,0,Q6581072,Q6581072,Q6581072,Female
Q22342689,1,Q6581097,Q6581097,Q6581097,Male
Q22342849,1,Q6581097,Q6581097,Q6581097,Male
Q22442687,1,Q6581097,Q6581097,Q6581097,Male
Q22442719,0,Q6581097,Q6581097,Q6581097,Male
Q22583254,0,Q6581097,Q6581097,Q6581097,Male
Q22662586,0,Q6581097,Q6581097,Q6581097,Male
Q22668153,0,Q6581072,Q6581072,Q6581072,Female
Q22679432,1,Q6581097,Q6581097,Q6581097,Male
Q22680953,1,Q6581097,Q6581097,Q6581097,Male
Q22704708,0,Q6581072,Q6581072,Q6581072,Female
Q22813782,0,Q6581097,Q6581097,Q6581097,Male
Q22918642,1,Q6581097,Q6581097,Q6581097,Male
Q22918801,0,Q6581097,Q6581097,Q6581097,Male
Q22918816,0,Q6581097,Q6581097,Q6581097,Male
Q22919285,0,Q6581097,Q6581097,Q6581097,Male
Q22919349,0,Q6581072,Q6581072,Q6581072,Female
Q22919417,0,Q6581097,Q6581097,Q6581097,Male
Q22919424,1,Q6581097,Q6581097,Q6581097,Male
Q22957101,0,Q6581072,Q6581072,Q6581072,Female
Q22957887,0,Q6581072,Q6581072,Q6581072,Female
Q23001059,1,Q6581097,Q6581097,Q6581097,Male
Q23059390,0,Q6581072,Q6581072,Q6581072,Female
Q23641977,0,Q6581097,Q6581097,Q6581097,Male
Q23642314,0,Q6581097,Q6581097,Q6581097,Male
Q23655210,1,Q6581097,Q6581097,Q6581097,Male
Q23656028,1,Q6581097,Q6581097,Q6581097,Male
Q23661763,0,Q6581072,Q6581072,Q6581072,Female
Q23664162,0,Q6581097,Q6581097,Q6581097,Male
Q23664891,0,Q6581097,Q6581097,Q6581097,Male
Q23668342,0,Q6581097,Q6581097,Q6581097,Male
Q23668568,0,Q6581097,Q6581097,Q6581097,Male
Q23668684,0,Q6581097,Q6581097,Q6581097,Male
Q23668698,0,Q6581072,Q6581072,Q6581072,Female
Q23678986,0,Q6581097,Q6581097,Q6581097,Male
Q23679538,0,Q6581072,Q6581072,Q6581072,Female
Q23765821,0,Q6581097,Q6581097,Q6581097,Male
Q23769933,0,Q6581097,Q6581097,Q6581097,Male
Q23882833,0,Q6581072,Q6581072,Q6581072,Female
Q23895611,0,Q6581097,Q6581097,Q6581097,Male
Q24006586,0,Q6581097,Q6581097,Q6581097,Male
Q24007607,0,Q6581072,Q6581072,Q6581072,Female
Q24007609,0,Q6581072,Q6581072,Q6581072,Female
Q24009873,1,Q6581072,Q6581072,Q6581072,Female
Q24010736,0,Q6581097,Q6581097,Q6581097,Male
Q24010756,1,Q6581097,Q6581097,Q6581097,Male
Q24010816,0,Q6581072,Q6581072,Q6581072,Female
Q24034036,0,Q6581072,Q6581072,Q6581072,Female
Q24046618,1,Q6581097,Q6581097,Q6581097,Male
Q24053425,1,Q6581097,Q6581097,Q6581097,Male
Q24075303,0,Q6581097,Q6581097,Q6581097,Male
Q24207184,0,Q6581097,Q6581097,Q6581097,Male
Q24247073,1,Q6581097,Q6581097,Q6581097,Male
Q24262489,0,Q6581097,Q6581097,Q6581097,Male
Q24262499,0,Q6581097,Q6581097,Q6581097,Male
Q60839004,1,Q6581097,Q6581097,Q6581097,Male
Q60839049,0,Q6581097,Q6581097,Q6581097,Male
Q60875909,0,Q6581097,Q6581097,Q6581097,Male
Q60892278,1,Q6581072,Q6581072,Q6581072,Female
Q61002556,0,Q6581097,Q6581097,Q6581097,Male
Q61058389,0,Q6581097,Q6581097,Q6581097,Male
Q61080632,0,Q6581072,Q6581072,Q6581072,Female
Q61110543,0,Q6581072,Q6581072,Q6581072,Female
Q61113755,0,Q6581097,Q6581097,Q6581097,Male
Q61116172,0,Q6581097,Q6581097,Q6581097,Male
Q61135998,0,Q6581072,Q6581072,Q6581072,Female
Q61163128,1,Q6581072,Q6581072,Q6581072,Female
Q61314098,0,Q6581097,Q6581097,Q6581097,Male
Q61338906,0,Q6581072,Q6581072,Q6581072,Female
Q61596818,0,Q6581097,Q6581097,Q6581097,Male
Q61633340,0,Q6581097,Q6581097,Q6581097,Male
Q61633404,0,Q6581097,Q6581097,Q6581097,Male
Q61779874,0,Q6581097,Q6581097,Q6581097,Male
Q61787631,0,Q6581072,Q6581072,Q6581072,Female
Q61812663,0,Q6581097,Q6581097,Q6581097,Male
Q61889420,0,Q6581097,Q6581097,Q6581097,Male
Q61963041,0,Q6581072,Q6581072,Q6581072,Female
Q61996994,1,Q6581097,Q6581097,Q6581097,Male
Q62054687,1,Q6581097,Q6581097,Q6581097,Male
Q62056195,0,Q6581097,Q6581097,Q6581097,Male
Q62060215,0,Q6581072,Q6581072,Q6581072,Female
Q62067138,0,Q6581097,Q6581097,Q6581097,Male
Q62071552,0,Q6581097,Q6581097,Q6581097,Male
Q62077945,0,Q6581097,Q6581097,Q6581097,Male
Q62077972,0,Q6581097,Q6581097,Q6581097,Male
Q62107124,0,Q6581097,Q6581097,Q6581097,Male
Q62120750,0,Q6581097,Q6581097,Q6581097,Male
Q62183750,1,Q6581097,Q6581097,Q6581097,Male
Q62614618,0,Q6581097,Q6581097,Q6581097,Male
Q62626570,0,Q6581097,Q6581097,Q6581097,Male
Q62712527,0,Q6581097,Q6581097,Q6581097,Male
Q62712550,0,Q6581097,Q6581097,Q6581097,Male
Q62712598,0,Q6581097,Q6581097,Q6581097,Male
Q62712776,0,Q6581097,Q6581097,Q6581097,Male
Q62712925,1,Q6581072,Q6581072,Q6581072,Female
Q62712963,1,Q6581097,Q6581097,Q6581097,Male
Q62713324,0,Q6581097,Q6581097,Q6581097,Male
Q62713450,0,Q6581097,Q6581097,Q6581097,Male
Q62714210,0,Q6581097,Q6581097,Q6581097,Male
Q62757670,0,Q6581097,Q6581097,Q6581097,Male
Q62886943,1,Q6581097,Q6581097,Q6581097,Male
Q63016893,0,Q6581072,Q6581072,Q6581072,Female
Q63038240,1,Q6581097,Q6581097,Q6581097,Male
Q63148150,0,Q6581097,Q6581097,Q6581097,Male
Q63182479,0,Q6581097,Q6581097,Q6581097,Male
Q63185798,0,Q6581097,Q6581097,Q6581097,Male
Q63185808,0,Q6581097,Q6581097,Q6581097,Male
Q63198513,0,Q6581097,Q6581097,Q6581097,Male
Q63226639,1,Q6581072,Q6581072,Q6581072,Female
Q63243375,1,Q6581072,Q6581072,Q6581072,Female
Q63307906,0,Q6581072,Q6581072,Q6581072,Female
Q63384687,0,Q6581097,Q6581097,Q6581097,Male
Q63615228,0,Q6581097,Q6581097,Q6581097,Male
Q63761853,0,Q6581097,Q6581097,Q6581097,Male
Q63859098,1,Q6581097,Q6581097,Q6581097,Male
Q64176521,0,Q6581072,Q6581072,Q6581072,Female
Q64176576,0,Q6581072,Q6581072,Q6581072,Female
Q64355646,0,Q6581097,Q6581097,Q6581097,Male
Q64419091,0,Q6581097,Q6581097,Q6581097,Male
Q64432818,0,Q6581097,Q6581097,Q6581097,Male
Q64432819,1,Q6581097,Q6581097,Q6581097,Male
Q64494872,1,Q6581072,Q6581072,Q6581072,Female
Q64528717,1,Q6581097,Q6581097,Q6581097,Male
Q64748282,0,Q6581097,Q6581097,Q6581097,Male
Q64825193,0,Q6581097,Q6581097,Q6581097,Male
Q64859811,0,Q6581072,Q6581072,Q6581072,Female
Q64859813,0,Q6581072,Q6581072,Q6581072,Female
Q64876666,0,Q6581097,Q6581097,Q6581097,Male
Q64995952,0,Q6581072,Q6581072,Q6581072,Female
Q65031626,1,Q6581097,Q6581097,Q6581097,Male
Q65031701,0,Q6581097,Q6581097,Q6581097,Male
Q65078413,0,Q6581097,Q6581097,Q6581097,Male
Q65095482,0,Q6581097,Q6581097,Q6581097,Male
Q65122355,0,Q6581097,Q6581097,Q6581097,Male
Q65124007,1,Q6581097,Q6581097,Q6581097,Male
Q65128811,0,Q6581097,Q6581097,Q6581097,Male
Q65129492,0,Q6581072,Q6581072,Q6581072,Female
Q65131884,0,Q6581097,Q6581097,Q6581097,Male
Q65133509,1,Q6581072,Q6581072,Q6581072,Female
Q65146318,1,Q6581097,Q6581097,Q6581097,Male
Q65150408,0,Q6581072,Q6581072,Q6581072,Female
Q65150439,0,Q6581097,Q6581097,Q6581097,Male
Q65150828,0,Q6581097,Q6581097,Q6581097,Male
Q65152541,1,Q6581097,Q6581097,Q6581097,Male
Q65157210,0,Q6581097,Q6581097,Q6581097,Male
Q65157916,0,Q6581097,Q6581097,Q6581097,Male
Q65167514,0,Q6581072,Q6581072,Q6581072,Female
Q65167525,0,Q6581097,Q6581097,Q6581097,Male
Q65167740,0,Q6581072,Q6581072,Q6581072,Female
Q65167777,1,Q6581097,Q6581097,Q6581097,Male
Q65177546,1,Q6581097,Q6581097,Q6581097,Male
Q65250057,1,Q6581097,Q6581097,Q6581097,Male
Q65250071,1,Q6581097,Q6581097,Q6581097,Male
Q65250145,1,Q6581097,Q6581097,Q6581097,Male
Q65250275,1,Q6581097,Q6581097,Q6581097,Male
Q72080858,0,Q6581097,Q6581097,Q6581097,Male
Q72199090,0,Q6581072,Q6581072,Q6581072,Female
Q74387124,1,Q6581072,Q6581072,Q6581072,Female
Q74838234,0,Q6581097,Q6581097,Q6581097,Male
Q75160299,1,Q6581097,Q6581097,Q6581097,Male
Q76490980,1,Q6581097,Q6581097,Q6581097,Male
Q76547484,0,Q6581097,Q6581097,Q6581097,Male
Q77681686,1,Q6581097,Q6581097,Q6581097,Male
Q79312403,0,Q6581097,Q6581097,Q6581097,Male
Q80348450,0,Q6581097,Q6581097,Q6581097,Male
Q80583411,0,Q6581097,Q6581097,Q6581097,Male
Q81211153,0,Q6581097,Q6581097,Q6581097,Male
Q81901032,0,Q6581097,Q6581097,Q6581097,Male
Q81901144,0,Q6581072,Q6581072,Q6581072,Female
Q81901250,0,Q6581097,Q6581097,Q6581097,Male
Q81901329,0,Q6581072,Q6581072,Q6581072,Female
Q81901899,0,Q6581097,Q6581097,Q6581097,Male
Q81902278,0,Q6581072,Q6581072,Q6581072,Female
Q81902283,0,Q6581097,Q6581097,Q6581097,Male
Q81902517,0,Q6581072,Q6581072,Q6581072,Female
Q81903065,0,Q6581072,Q6581072,Q6581072,Female
Q81903188,0,Q6581072,Q6581072,Q6581072,Female
Q81903845,0,Q6581097,Q6581097,Q6581097,Male
Q81904154,0,Q6581097,Q6581097,Q6581097,Male
Q81904493,0,Q6581097,Q6581097,Q6581097,Male
Q81904655,0,Q6581072,Q6581072,Q6581072,Female
Q81904659,0,Q6581097,Q6581097,Q6581097,Male
Q81905723,0,Q6581097,Q6581097,Q6581097,Male
Q81906362,0,Q6581072,Q6581072,Q6581072,Female
Q81906988,0,Q6581097,Q6581097,Q6581097,Male
Q81907324,0,Q6581072,Q6581072,Q6581072,Female
Q81907673,0,Q6581072,Q6581072,Q6581072,Female
Q81907861,0,Q6581072,Q6581072,Q6581072,Female
Q81908350,0,Q6581097,Q6581097,Q6581097,Male
Q82082191,0,Q6581097,Q6581097,Q6581097,Male
Q82082188,0,Q6581097,Q6581097,Q6581097,Male
Q83424687,0,Q6581072,Q6581072,Q6581072,Female
Q83573177,1,Q6581097,Q6581097,Q6581097,Male
Q83688261,1,Q6581097,Q6581097,Q6581097,Male
Q83734756,0,Q6581097,Q6581097,Q6581097,Male
Q83876902,0,Q6581097,Q6581097,Q6581097,Male
Q84047100,0,Q6581097,Q6581097,Q6581097,Male
Q84079004,0,Q6581072,Q6581072,Q6581072,Female
Q84369697,0,Q6581097,Q6581097,Q6581097,Male
