p31,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,no_references,no_images,under_250_words,short_unreferenced,thin_articles,label_en,label_kk,label_ru,no_references_pct,no_images_pct,under_250_words_pct,short_unreferenced_pct,thin_articles_pct
Q854857,3,222.0,350.33,1.0,1.0,1.0,1.0,11.0,15.33,1,1,2,1,1,,,,33.33,33.33,66.67,33.33,33.33
Q85493040,18,488.5,512.44,0.0,0.0,0.0,0.0,107.0,114.61,18,18,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q855697,6,446.5,1023.0,1.0,1.33,4.0,4.67,32.5,53.5,3,0,2,2,0,,,,50.0,0.0,33.33,33.33,0.0
Q856076,3,688.0,919.67,6.0,10.0,1.0,1.0,21.0,22.33,0,1,0,0,0,,,,0.0,33.33,0.0,0.0,0.0
Q856234,2,339.5,339.5,0.5,0.5,0.0,0.0,13.0,13.0,1,2,0,0,0,academic library,academic library,научная библиотека,50.0,100.0,0.0,0.0,0.0
Q85631896,22,308.0,317.41,1.0,0.59,0.0,0.36,7.0,7.64,9,17,0,0,0,,,,40.91,77.27,0.0,0.0,0.0
Q85632032,7,291.0,310.57,1.0,0.71,1.0,1.86,5.0,5.43,2,2,0,0,0,,,,28.57,28.57,0.0,0.0,0.0
Q85635301,2,296.0,296.0,0.0,0.0,0.0,0.0,5.5,5.5,2,2,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q85635630,22,293.0,347.77,0.0,0.64,1.0,0.95,7.0,11.36,20,8,0,0,0,,,,90.91,36.36,0.0,0.0,0.0
Q85635638,1,1990.0,1990.0,8.0,8.0,4.0,4.0,67.0,67.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q85635929,5,289.0,290.4,0.0,0.2,0.0,0.2,5.0,5.2,4,4,0,0,0,,,,80.0,80.0,0.0,0.0,0.0
Q85636199,1,1022.0,1022.0,9.0,9.0,4.0,4.0,2.0,2.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q856584,2,84.5,84.5,1.0,1.0,1.5,1.5,2.5,2.5,0,0,2,0,0,,,,0.0,0.0,100.0,0.0,0.0
Q856663,3,299.0,433.0,1.0,4.0,1.0,1.67,10.0,27.67,0,1,1,0,0,,,,0.0,33.33,33.33,0.0,0.0
Q857833,2,726.5,726.5,10.5,10.5,2.0,2.0,30.0,30.0,0,1,1,0,0,,,,0.0,50.0,50.0,0.0,0.0
Q85793519,2,1261.5,1261.5,2.0,2.0,6.5,6.5,30.0,30.0,0,0,1,0,0,,,,0.0,0.0,50.0,0.0,0.0
Q85827478,1,695.0,695.0,9.0,9.0,0.0,0.0,3.0,3.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q858330,1,80.0,80.0,0.0,0.0,0.0,0.0,3.0,3.0,1,1,1,1,1,,,,100.0,100.0,100.0,100.0,100.0
Q858439,3,1581.0,3364.33,43.0,66.0,0.0,6.0,53.0,89.0,0,2,0,0,0,,,,0.0,66.67,0.0,0.0,0.0
