p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q2949123,2,0,2,0.0,2,1,0,4.5,Asian Championship,Азия чемпионаты,Чемпионат Азии
Q295469,1,0,1,0.0,1,1,0,6.0,ecoregion,ecoregion,экологический регион
Q29553,1,0,1,0.0,1,0,0,3.0,sanctuary,sanctuary,санктуарий
Q29592127,1,0,1,0.0,0,0,0,1.0,badminton association,badminton association,badminton association
Q2966838,1,0,1,0.0,1,1,1,11.0,chronolect,chronolect,хронолект
Q2974842,1,1,0,100.0,0,0,0,,,,
Q2977,4,1,3,25.0,3,2,1,6.67,cathedral,cathedral,кафедральный собор
Q29791211,5,0,5,0.0,1,1,1,3.4,sport in a geographic region,sport in a geographic region,спорт в географическом регионе
Q2983893,20,19,1,95.0,1,0,0,2.0,quarter,quarter,квартал
Q2989457,9,9,0,100.0,0,0,0,,,,
Q2990216,2,1,1,50.0,1,1,0,6.0,mining company,mining company,горное предприятие
Q2990946,1,0,1,0.0,1,0,0,2.0,golf tournament,golf tournament,турнир по гольфу
Q2990963,4,2,2,50.0,2,0,0,2.5,figure skating competition,figure skating competition,соревнование по фигурному катанию
Q29925,14,0,14,0.0,0,0,0,1.0,salt marsh,salt marsh,солёные марши
Q2997316,1,0,1,0.0,0,0,0,1.0,sopka,Шоқы,сопка
Q30014735,4,0,4,0.0,0,0,0,1.0,bus-based transport system,bus-based transport system,автобусная система
Q3002150,1,1,0,100.0,0,0,0,,,,
Q3002772,1,0,1,0.0,1,0,0,3.0,political crisis,political crisis,политический кризис
Q30178840,2,0,2,0.0,0,0,0,1.0,SCO summit,SCO summit,Саммит ШОС
Q30198,39,1,38,2.56,1,0,0,1.05,marsh,батпақ,болото
Q3024240,1,1,0,100.0,0,0,0,,,,
Q303874,1,0,1,0.0,0,0,0,1.0,ab anbar,Сардоба,сардоба
Q3062125,1,0,1,0.0,0,0,0,1.0,agricultural holding,agricultural holding,сельскохозяйственный бизнес
Q30634609,1,1,0,100.0,0,0,0,,,,
Q3146899,2,0,2,0.0,2,2,2,14.0,diocese of the Catholic Church,diocese of the Catholic Church,католическая епархия
Q31629,1,1,0,100.0,0,0,0,,,,
Q3176665,1,1,0,100.0,0,0,0,,,,
Q31855,20,16,4,80.0,0,0,0,1.0,research institute,ғылыми-зерттеу институты,научно-исследовательский институт
Q3193890,1,0,1,0.0,0,0,0,1.0,environmental disaster,Экологиялық Апат аймақтары,экологическая катастрофа
Q3199915,1,1,0,100.0,0,0,0,,,,
Q32099,10,0,10,0.0,10,10,10,18.0,meridian,меридиан,меридиан
Q3215290,1,1,0,100.0,0,0,0,,,,
Q3240715,3,1,2,33.33,1,1,0,4.0,crater,crater,кратер
Q3241045,3,2,1,66.67,1,1,1,28.0,disease outbreak,disease outbreak,вспышка эпидемии
Q3253281,2,2,0,100.0,0,0,0,,,,
Q3257686,3,2,1,66.67,1,0,0,3.0,locality,locality,обжитая местность
Q3270632,3,0,3,0.0,0,0,0,1.0,national championship,national championship,национальный чемпионат
Q327333,10,10,0,100.0,0,0,0,,,,
Q3273417,3,0,3,0.0,1,0,0,1.33,lists of sportspeople,lists of sportspeople,список спортсменов
Q32766,1,1,0,100.0,0,0,0,,,,
Q32815,51,39,12,76.47,3,1,0,1.92,mosque,мешіт,мечеть
Q32966,1,1,0,100.0,0,0,0,,,,
Q3302125,1,1,0,100.0,0,0,0,,,,
Q33060692,6,0,6,0.0,6,0,0,2.0,Kazakhstan International Badminton Championships,Kazakhstan International Badminton Championships,Kazakhstan International Badminton Championships
Q3320743,10,8,2,80.0,1,1,0,4.5,title of honor,құрметті атақ,почётное звание
Q3329412,4,4,0,100.0,0,0,0,,,,
