qid,p31
Q31057,Q14192199
Q34020,Q6256
Q34020,Q112099
Q34020,Q1138279
Q34266,Q3024240
Q34266,Q3624078
Q35666,
Q37922,Q378427
Q39099,Q1368
Q39099,Q8142
Q39099,Q25530138
Q39484,Q39911
Q40056,
Q40362,Q10711424
Q40415,Q968159
Q40415,Q1792379
Q40415,Q1792644
Q40415,Q3326867
Q40619,Q42032
Q43004,Q9174
Q43004,Q110401222
Q43292,Q355567
Q43292,Q1326966
Q43292,Q4164871
Q43347,Q5
Q47604,Q9135
Q47604,Q170434
Q47604,Q28933701
Q48143,Q112193867
Q48143,Q112965645
Q57464,Q5
Q62927,
Q76849,Q5
Q82753,
Q83345,
Q102014,Q190087
Q102014,Q16686448
Q120143,Q23691
Q128115,Q968159
Q128115,Q1292119
Q128115,Q1792379
Q128115,Q1792644
Q129799,Q3024240
Q130796,Q1412901
